,이름,생일,시즌,연봉(만원),연차
2664,문희성,1973-02-22,2002,3200,6
2665,문희성,1973-02-22,2003,3200,7
2666,문희성,1973-02-22,2004,5000,8
2667,문희성,1973-02-22,2005,4700,9
2668,문희성,1973-02-22,2006,8000,10
2669,강병식,1977-04-23,2002,,1
2670,강병식,1977-04-23,2003,2500,2
2671,강병식,1977-04-23,2004,3000,3
2672,강병식,1977-04-23,2005,3500,4
2673,강병식,1977-04-23,2006,3800,5
2674,강병식,1977-04-23,2007,4500,6
2675,강병식,1977-04-23,2008,4000,7
2676,강병식,1977-04-23,2009,5300,8
2677,강병식,1977-04-23,2010,5300,9
2678,강병식,1977-04-23,2011,8000,10
2679,강병식,1977-04-23,2012,7000,11
2680,박기남,1981-08-14,2004,,1
2681,박기남,1981-08-14,2005,2500,2
2682,박기남,1981-08-14,2006,3500,3
2683,박기남,1981-08-14,2009,3500,6
2684,박기남,1981-08-14,2010,5500,7
2685,박기남,1981-08-14,2011,6500,8
2686,박기남,1981-08-14,2012,7000,9
2687,박기남,1981-08-14,2013,10000,10
2688,박기남,1981-08-14,2014,9000,11
2689,박기남,1981-08-14,2015,900000,12
2690,김응국,1966-01-14,1988,,1
2691,김응국,1966-01-14,1989,,2
2692,김응국,1966-01-14,1990,,3
2693,김응국,1966-01-14,1991,,4
2694,김응국,1966-01-14,1992,,5
2695,김응국,1966-01-14,1993,,6
2696,김응국,1966-01-14,1994,,7
2697,김응국,1966-01-14,1995,,8
2698,김응국,1966-01-14,1996,,9
2699,김응국,1966-01-14,1997,10000,10
2700,김응국,1966-01-14,1998,9000,11
2701,김응국,1966-01-14,1999,8100,12
2702,김응국,1966-01-14,2000,11000,13
2703,김응국,1966-01-14,2001,11000,14
2704,김응국,1966-01-14,2002,11000,15
2705,김응국,1966-01-14,2003,12000,16
2706,강경학,1992-08-11,2011,,1
2707,강경학,1992-08-11,2014,2400,4
2708,강경학,1992-08-11,2015,6500,5
2709,강경학,1992-08-11,2016,6500,6
2710,강경학,1992-08-11,2017,6200,7
2711,강경학,1992-08-11,2018,5800,8
2712,강경학,1992-08-11,2019,5800,9
2713,강경학,1992-08-11,2020,7800,10
2714,최항,1994-01-03,2017,,1
2715,최항,1994-01-03,2018,4200,2
2716,최항,1994-01-03,2019,4200,3
2717,최항,1994-01-03,2020,7500,4
2718,양석환,1991-07-15,2015,7000,1
2719,양석환,1991-07-15,2016,7000,2
2720,양석환,1991-07-15,2017,9000,3
2721,양석환,1991-07-15,2018,900000,4
2722,양석환,1991-07-15,2020,900000,6
2723,백상원,1988-01-02,2013,2600,1
2724,백상원,1988-01-02,2014,2600,2
2725,백상원,1988-01-02,2015,4500,3
2726,백상원,1988-01-02,2016,4500,4
2727,백상원,1988-01-02,2017,9000,5
2728,백상원,1988-01-02,2018,900000,6
2729,살라디노,1989-07-20,2020,70000,1
2730,윌슨,1990-07-29,2019,900000,1
2731,고동진,1980-04-01,2004,,1
2732,고동진,1980-04-01,2005,3400,2
2733,고동진,1980-04-01,2006,4500,3
2734,고동진,1980-04-01,2007,8000,4
2735,고동진,1980-04-01,2008,10000,5
2736,고동진,1980-04-01,2011,6000,8
2737,고동진,1980-04-01,2012,7000,9
2738,고동진,1980-04-01,2013,8000,10
2739,고동진,1980-04-01,2014,10000,11
2740,고동진,1980-04-01,2015,8000,12
2741,강인권,1972-06-26,1995,,1
2742,강인권,1972-06-26,1996,,2
2743,강인권,1972-06-26,1997,2400,3
2744,강인권,1972-06-26,1998,2200,4
2745,강인권,1972-06-26,1999,2000,5
2746,강인권,1972-06-26,2000,2500,6
2747,강인권,1972-06-26,2001,3000,7
2748,강인권,1972-06-26,2002,5500,8
2749,강인권,1972-06-26,2003,5500,9
2750,강인권,1972-06-26,2004,6500,10
2751,강인권,1972-06-26,2005,7700,11
2752,강인권,1972-06-26,2006,7400,12
2753,오윤석,1992-02-24,2015,2700,1
2754,오윤석,1992-02-24,2018,3100,4
2755,오윤석,1992-02-24,2019,900000,5
2756,오윤석,1992-02-24,2020,4000,6
2757,허정협,1990-02-17,2015,3000,1
2758,허정협,1990-02-17,2016,3000,2
2759,허정협,1990-02-17,2017,3300,3
2760,허정협,1990-02-17,2018,4500,4
2761,허정협,1990-02-17,2019,4500,5
2762,허정협,1990-02-17,2020,4500,6
2763,채종국,1975-10-24,1999,2000,1
2764,채종국,1975-10-24,2001,1800,3
2765,채종국,1975-10-24,2002,2300,4
2766,채종국,1975-10-24,2003,3300,5
2767,채종국,1975-10-24,2004,4300,6
2768,채종국,1975-10-24,2005,8600,7
2769,채종국,1975-10-24,2006,8600,8
2770,채종국,1975-10-24,2007,8600,9
2771,채종국,1975-10-24,2008,6300,10
2772,임수민,1973-05-31,1996,,1
2773,임수민,1973-05-31,1997,3100,2
2774,임수민,1973-05-31,1998,2800,3
2775,임수민,1973-05-31,1999,2400,4
2776,임수민,1973-05-31,2002,4000,7
2777,임수민,1973-05-31,2003,4500,8
2778,임수민,1973-05-31,2004,5500,9
2779,임수민,1973-05-31,2005,6500,10
2780,임수민,1973-05-31,2006,6000,11
2781,김대익,1973-06-03,1996,,1
2782,김대익,1973-06-03,1997,3120,2
2783,김대익,1973-06-03,1998,4200,3
2784,김대익,1973-06-03,1999,5700,4
2785,김대익,1973-06-03,2000,6700,5
2786,김대익,1973-06-03,2001,7700,6
2787,김대익,1973-06-03,2002,8300,7
2788,김대익,1973-06-03,2003,8700,8
2789,김대익,1973-06-03,2004,8700,9
2790,김대익,1973-06-03,2005,9000,10
2791,김대익,1973-06-03,2006,10000,11
2792,김대익,1973-06-03,2007,10000,12
2793,박정환,1977-10-23,2000,,1
2794,박정환,1977-10-23,2001,2300,2
2795,박정환,1977-10-23,2002,3800,3
2796,박정환,1977-10-23,2003,6000,4
2797,박정환,1977-10-23,2004,6000,5
2798,박정환,1977-10-23,2005,6000,6
2799,박정환,1977-10-23,2006,6500,7
2800,박정환,1977-10-23,2007,6500,8
2801,박정환,1977-10-23,2008,5500,9
2802,박정환,1977-10-23,2009,5000,10
2803,박정환,1977-10-23,2010,5500,11
2804,박정환,1977-10-23,2011,6000,12
2805,장영석,1990-05-14,2009,,1
2806,장영석,1990-05-14,2010,,2
2807,장영석,1990-05-14,2011,3800,3
2808,장영석,1990-05-14,2012,3300,4
2809,장영석,1990-05-14,2015,3300,7
2810,장영석,1990-05-14,2016,3300,8
2811,장영석,1990-05-14,2017,3600,9
2812,장영석,1990-05-14,2018,6000,10
2813,장영석,1990-05-14,2019,6000,11
2814,장영석,1990-05-14,2020,7500,12
2815,채상병,1979-12-18,2002,,1
2816,채상병,1979-12-18,2003,1800,2
2817,채상병,1979-12-18,2004,2200,3
2818,채상병,1979-12-18,2007,2200,6
2819,채상병,1979-12-18,2008,4600,7
2820,채상병,1979-12-18,2009,4600,8
2821,채상병,1979-12-18,2010,6600,9
2822,채상병,1979-12-18,2011,7100,10
2823,채상병,1979-12-18,2012,7500,11
2824,장원진,1969-06-15,1992,,1
2825,장원진,1969-06-15,1993,,2
2826,장원진,1969-06-15,1994,,3
2827,장원진,1969-06-15,1995,,4
2828,장원진,1969-06-15,1997,4200,6
2829,장원진,1969-06-15,1998,5000,7
2830,장원진,1969-06-15,1999,4700,8
2831,장원진,1969-06-15,2000,6400,9
2832,장원진,1969-06-15,2001,10200,10
2833,장원진,1969-06-15,2002,14700,11
2834,장원진,1969-06-15,2003,13700,12
2835,장원진,1969-06-15,2004,15000,13
2836,장원진,1969-06-15,2005,15000,14
2837,장원진,1969-06-15,2006,20000,15
2838,장원진,1969-06-15,2007,15000,16
2839,김정민,1970-03-15,1993,,1
2840,김정민,1970-03-15,1994,,2
2841,김정민,1970-03-15,1995,,3
2842,김정민,1970-03-15,1996,,4
2843,김정민,1970-03-15,1997,3300,5
2844,김정민,1970-03-15,1998,3300,6
2845,김정민,1970-03-15,1999,3500,7
2846,김정민,1970-03-15,2000,4500,8
2847,김정민,1970-03-15,2001,6800,9
2848,김정민,1970-03-15,2002,6600,10
2849,김정민,1970-03-15,2003,6300,11
2850,김정민,1970-03-15,2004,6300,12
2851,김정민,1970-03-15,2005,6500,13
2852,김정민,1970-03-15,2006,8100,14
2853,김정민,1970-03-15,2008,8000,16
2854,김정민,1970-03-15,2009,8500,17
2855,필립스,1970-04-29,2001,,1
2856,페게로,1987-02-22,2019,900000,1
2857,박연수,1974-01-14,1999,2200,1
2858,박연수,1974-01-14,2000,2500,2
2859,박연수,1974-01-14,2001,3200,3
2860,박연수,1974-01-14,2002,4000,4
2861,박연수,1974-01-14,2003,4000,5
2862,박연수,1974-01-14,2004,5000,6
2863,박연수,1974-01-14,2005,4700,7
2864,박연수,1974-01-14,2006,5400,8
2865,박연수,1974-01-14,2007,4000,9
2866,박연수,1974-01-14,2008,3500,10
2867,반즈,1986-05-15,2020,,1
2868,김성욱,1993-05-01,2013,2400,1
2869,김성욱,1993-05-01,2014,2500,2
2870,김성욱,1993-05-01,2015,5500,3
2871,김성욱,1993-05-01,2016,5500,4
2872,김성욱,1993-05-01,2017,10000,5
2873,김성욱,1993-05-01,2018,10500,6
2874,김성욱,1993-05-01,2019,10500,7
2875,김성욱,1993-05-01,2020,12000,8
2876,조동화,1981-03-22,2001,,1
2877,조동화,1981-03-22,2002,1700,2
2878,조동화,1981-03-22,2005,2000,5
2879,조동화,1981-03-22,2006,4500,6
2880,조동화,1981-03-22,2007,4000,7
2881,조동화,1981-03-22,2008,7500,8
2882,조동화,1981-03-22,2009,10500,9
2883,조동화,1981-03-22,2010,9000,10
2884,조동화,1981-03-22,2011,11000,11
2885,조동화,1981-03-22,2012,11000,12
2886,조동화,1981-03-22,2013,9000,13
2887,조동화,1981-03-22,2014,12000,14
2888,조동화,1981-03-22,2015,30000,15
2889,조동화,1981-03-22,2016,30000,16
2890,서한규,1973-03-28,1998,,1
2891,서한규,1973-03-28,1999,1900,2
2892,서한규,1973-03-28,2001,1700,4
2893,서한규,1973-03-28,2002,1700,5
2894,서한규,1973-03-28,2003,2200,6
2895,서한규,1973-03-28,2004,2700,7
2896,서한규,1973-03-28,2005,3500,8
2897,서한규,1973-03-28,2006,4500,9
2898,서한규,1973-03-28,2007,4500,10
2899,지석훈,1984-03-17,2004,2000,1
2900,지석훈,1984-03-17,2005,2200,2
2901,지석훈,1984-03-17,2006,2400,3
2902,지석훈,1984-03-17,2007,2500,4
2903,지석훈,1984-03-17,2008,2800,5
2904,지석훈,1984-03-17,2011,2700,8
2905,지석훈,1984-03-17,2012,3000,9
2906,지석훈,1984-03-17,2013,3000,10
2907,지석훈,1984-03-17,2014,6000,11
2908,지석훈,1984-03-17,2015,14000,12
2909,지석훈,1984-03-17,2016,14000,13
2910,지석훈,1984-03-17,2017,14900,14
2911,지석훈,1984-03-17,2018,15000,15
2912,지석훈,1984-03-17,2019,15000,16
2913,지석훈,1984-03-17,2020,12500,17
2914,유민상,1989-04-13,2015,3200,1
2915,유민상,1989-04-13,2016,3200,2
2916,유민상,1989-04-13,2017,4500,3
2917,유민상,1989-04-13,2018,4500,4
2918,유민상,1989-04-13,2019,4500,5
2919,유민상,1989-04-13,2020,6000,6
2920,김준완,1991-01-20,2013,,1
2921,김준완,1991-01-20,2014,,2
2922,김준완,1991-01-20,2015,3000,3
2923,김준완,1991-01-20,2016,3000,4
2924,김준완,1991-01-20,2017,7000,5
2925,김준완,1991-01-20,2019,7000,7
2926,김준완,1991-01-20,2020,8000,8
2927,이양기,1981-01-31,2003,,1
2928,이양기,1981-01-31,2004,1800,2
2929,이양기,1981-01-31,2005,2000,3
2930,이양기,1981-01-31,2009,2300,7
2931,이양기,1981-01-31,2010,2300,8
2932,이양기,1981-01-31,2011,2700,9
2933,이양기,1981-01-31,2012,3700,10
2934,이양기,1981-01-31,2013,3700,11
2935,이양기,1981-01-31,2014,5200,12
2936,이양기,1981-01-31,2016,5400,14
2937,이양기,1981-01-31,2017,900000,15
2938,최재원,1990-07-30,2013,,1
2939,최재원,1990-07-30,2014,2500,2
2940,최재원,1990-07-30,2015,2700,3
2941,최재원,1990-07-30,2016,5000,4
2942,최재원,1990-07-30,2017,6500,5
2943,최재원,1990-07-30,2020,6000,8
2944,추승우,1979-09-24,2002,,1
2945,추승우,1979-09-24,2003,2200,2
2946,추승우,1979-09-24,2006,2200,5
2947,추승우,1979-09-24,2007,2500,6
2948,추승우,1979-09-24,2008,2500,7
2949,추승우,1979-09-24,2009,5000,8
2950,추승우,1979-09-24,2010,4500,9
2951,추승우,1979-09-24,2011,4600,10
2952,추승우,1979-09-24,2012,4200,11
2953,추승우,1979-09-24,2013,4500,12
2954,추승우,1979-09-24,2014,6000,13
2955,박종윤,1982-04-11,2002,1700,1
2956,박종윤,1982-04-11,2005,2000,4
2957,박종윤,1982-04-11,2007,2000,6
2958,박종윤,1982-04-11,2008,2200,7
2959,박종윤,1982-04-11,2009,2500,8
2960,박종윤,1982-04-11,2010,3800,9
2961,박종윤,1982-04-11,2011,6500,10
2962,박종윤,1982-04-11,2012,7500,11
2963,박종윤,1982-04-11,2013,10700,12
2964,박종윤,1982-04-11,2014,12000,13
2965,박종윤,1982-04-11,2015,16000,14
2966,박종윤,1982-04-11,2016,16000,15
2967,김호재,1995-05-31,2018,2800,1
2968,김호재,1995-05-31,2019,2800,2
2969,김호재,1995-05-31,2020,4000,3
2970,로티노,1980-04-07,2014,900000,1
2971,전근표,1977-03-05,2000,,1
2972,전근표,1977-03-05,2001,2000,2
2973,전근표,1977-03-05,2002,2500,3
2974,전근표,1977-03-05,2003,2500,4
2975,전근표,1977-03-05,2004,3600,5
2976,전근표,1977-03-05,2005,5500,6
2977,전근표,1977-03-05,2006,4800,7
2978,전근표,1977-03-05,2007,4800,8
2979,전근표,1977-03-05,2008,3200,9
2980,전근표,1977-03-05,2010,3300,11
2981,박정음,1989-04-15,2016,2700,1
2982,박정음,1989-04-15,2017,6600,2
2983,박정음,1989-04-15,2018,5500,3
2984,박정음,1989-04-15,2019,5500,4
2985,박정음,1989-04-15,2020,5500,5
2986,문규현,1983-07-05,2002,,1
2987,문규현,1983-07-05,2003,1900,2
2988,문규현,1983-07-05,2004,2000,3
2989,문규현,1983-07-05,2007,2000,6
2990,문규현,1983-07-05,2009,2000,8
2991,문규현,1983-07-05,2010,2600,9
2992,문규현,1983-07-05,2011,4200,10
2993,문규현,1983-07-05,2012,8400,11
2994,문규현,1983-07-05,2013,9000,12
2995,문규현,1983-07-05,2014,6800,13
2996,문규현,1983-07-05,2015,3000,14
2997,문규현,1983-07-05,2016,3000,15
2998,문규현,1983-07-05,2017,12000,16
2999,문규현,1983-07-05,2018,18000,17
3000,문규현,1983-07-05,2019,900000,18
3001,백진우,1988-05-09,2010,,1
3002,백진우,1988-05-09,2011,,2
3003,백진우,1988-05-09,2014,,5
3004,백진우,1988-05-09,2015,,6
3005,백진우,1988-05-09,2017,,8
3006,백진우,1988-05-09,2018,,9
3007,백진우,1988-05-09,2019,,10
3008,최윤석,1987-03-28,2010,,1
3009,최윤석,1987-03-28,2011,3200,2
3010,최윤석,1987-03-28,2012,5000,3
3011,최윤석,1987-03-28,2013,6000,4
3012,최윤석,1987-03-28,2016,5700,7
3013,최윤석,1987-03-28,2017,5200,8
3014,최윤석,1987-03-28,2018,4800,9
3015,최윤석,1987-03-28,2019,900000,10
3016,박준서,1981-12-11,2001,,1
3017,박준서,1981-12-11,2002,,2
3018,박준서,1981-12-11,2003,,3
3019,박준서,1981-12-11,2004,,4
3020,박준서,1981-12-11,2005,,5
3021,박준서,1981-12-11,2006,,6
3022,박준서,1981-12-11,2007,,7
3023,박준서,1981-12-11,2008,,8
3024,박준서,1981-12-11,2009,,9
3025,박준서,1981-12-11,2010,4200,10
3026,박준서,1981-12-11,2011,4000,11
3027,박준서,1981-12-11,2012,3500,12
3028,박준서,1981-12-11,2013,6100,13
3029,박준서,1981-12-11,2014,6800,14
3030,박준서,1981-12-11,2015,900000,15
3031,오정복,1986-10-13,2009,,1
3032,오정복,1986-10-13,2010,2600,2
3033,오정복,1986-10-13,2011,5300,3
3034,오정복,1986-10-13,2014,5300,6
3035,오정복,1986-10-13,2015,8000,7
3036,오정복,1986-10-13,2016,8000,8
3037,오정복,1986-10-13,2017,7000,9
3038,오정복,1986-10-13,2018,900000,10
3039,이인구,1980-11-07,2003,,1
3040,이인구,1980-11-07,2004,1900,2
3041,이인구,1980-11-07,2007,2100,5
3042,이인구,1980-11-07,2008,2400,6
3043,이인구,1980-11-07,2009,3700,7
3044,이인구,1980-11-07,2010,6000,8
3045,이인구,1980-11-07,2011,4500,9
3046,이인구,1980-11-07,2012,5000,10
3047,이인구,1980-11-07,2013,4700,11
3048,강한울,1991-09-12,2014,2400,1
3049,강한울,1991-09-12,2015,6000,2
3050,강한울,1991-09-12,2016,6000,3
3051,강한울,1991-09-12,2017,9000,4
3052,강한울,1991-09-12,2018,900000,5
3053,강한울,1991-09-12,2020,900000,7
3054,전병우,1992-10-24,2018,2700,1
3055,전병우,1992-10-24,2019,2700,2
3056,전병우,1992-10-24,2020,2700,3
3057,김종훈,1972-01-29,1994,,1
3058,김종훈,1972-01-29,1995,,2
3059,김종훈,1972-01-29,1996,,3
3060,김종훈,1972-01-29,1997,,4
3061,김종훈,1972-01-29,1998,3700,5
3062,김종훈,1972-01-29,1999,4500,6
3063,김종훈,1972-01-29,2000,5400,7
3064,김종훈,1972-01-29,2001,6000,8
3065,김종훈,1972-01-29,2002,8500,9
3066,김종훈,1972-01-29,2003,10500,10
3067,김종훈,1972-01-29,2004,11000,11
3068,김종훈,1972-01-29,2005,11000,12
3069,김종훈,1972-01-29,2006,11000,13
3070,김종훈,1972-01-29,2007,13000,14
3071,박계범,1996-01-11,2015,2700,1
3072,박계범,1996-01-11,2016,2900,2
3073,박계범,1996-01-11,2019,2900,5
3074,박계범,1996-01-11,2020,5500,6
3075,김민혁,1995-11-21,2015,4700,1
3076,김민혁,1995-11-21,2016,4700,2
3077,김민혁,1995-11-21,2019,4700,5
3078,김민혁,1995-11-21,2020,9000,6
3079,이홍구,1990-12-11,2013,,1
3080,이홍구,1990-12-11,2015,7000,3
3081,이홍구,1990-12-11,2016,7000,4
3082,이홍구,1990-12-11,2017,7000,5
3083,이홍구,1990-12-11,2020,7000,8
3084,권용관,1976-11-19,1996,,1
3085,권용관,1976-11-19,1997,2000,2
3086,권용관,1976-11-19,2000,2000,5
3087,권용관,1976-11-19,2001,2000,6
3088,권용관,1976-11-19,2002,3200,7
3089,권용관,1976-11-19,2003,6500,8
3090,권용관,1976-11-19,2004,6000,9
3091,권용관,1976-11-19,2005,7000,10
3092,권용관,1976-11-19,2006,7000,11
3093,권용관,1976-11-19,2007,6500,12
3094,권용관,1976-11-19,2008,8600,13
3095,권용관,1976-11-19,2009,7800,14
3096,권용관,1976-11-19,2010,7800,15
3097,권용관,1976-11-19,2011,7600,16
3098,권용관,1976-11-19,2012,6600,17
3099,권용관,1976-11-19,2013,5500,18
3100,권용관,1976-11-19,2014,8000,19
3101,권용관,1976-11-19,2015,8000,20
3102,권용관,1976-11-19,2016,900000,21
3103,연경흠,1983-09-14,2006,,1
3104,연경흠,1983-09-14,2007,3500,2
3105,연경흠,1983-09-14,2008,4000,3
3106,연경흠,1983-09-14,2009,4000,4
3107,연경흠,1983-09-14,2012,5000,7
3108,연경흠,1983-09-14,2013,5000,8
3109,김준태,1994-07-31,2013,,1
3110,김준태,1994-07-31,2015,3000,3
3111,김준태,1994-07-31,2016,3000,4
3112,김준태,1994-07-31,2019,3000,7
3113,김준태,1994-07-31,2020,3800,8
3114,전상렬,1972-06-12,1992,,1
3115,전상렬,1972-06-12,1993,,2
3116,전상렬,1972-06-12,1995,,4
3117,전상렬,1972-06-12,1996,,5
3118,전상렬,1972-06-12,1997,,6
3119,전상렬,1972-06-12,1998,,7
3120,전상렬,1972-06-12,1999,,8
3121,전상렬,1972-06-12,2000,,9
3122,전상렬,1972-06-12,2001,,10
3123,전상렬,1972-06-12,2002,,11
3124,전상렬,1972-06-12,2003,,12
3125,전상렬,1972-06-12,2004,,13
3126,전상렬,1972-06-12,2005,14000,14
3127,전상렬,1972-06-12,2006,15000,15
3128,전상렬,1972-06-12,2007,15000,16
3129,전상렬,1972-06-12,2008,10500,17
3130,양현석,1977-10-20,2000,,1
3131,양현석,1977-10-20,2001,,2
3132,양현석,1977-10-20,2002,3800,3
3133,양현석,1977-10-20,2003,4300,4
3134,양현석,1977-10-20,2004,4700,5
3135,양현석,1977-10-20,2007,4700,8
3136,아수아헤,1991-11-02,2019,900000,1
3137,조셉,1991-07-16,2019,900000,1
3138,서상우,1989-09-17,2012,,1
3139,서상우,1989-09-17,2015,6000,4
3140,서상우,1989-09-17,2016,6000,5
3141,서상우,1989-09-17,2017,5500,6
3142,서상우,1989-09-17,2018,3500,7
3143,서상우,1989-09-17,2019,900000,8
3144,박정준,1984-06-26,2003,,1
3145,박정준,1984-06-26,2004,1900,2
3146,박정준,1984-06-26,2005,2000,3
3147,박정준,1984-06-26,2006,2600,4
3148,박정준,1984-06-26,2009,2600,7
3149,박정준,1984-06-26,2010,4500,8
3150,박정준,1984-06-26,2011,4500,9
3151,박정준,1984-06-26,2012,4300,10
3152,박정준,1984-06-26,2013,4300,11
3153,박정준,1984-06-26,2014,5300,12
3154,박정준,1984-06-26,2015,900000,13
3155,로메로,1986-09-24,2015,900000,1
3156,시오타니,1974-05-27,2006,,1
3157,이해창,1987-05-11,2011,2400,1
3158,이해창,1987-05-11,2015,2900,5
3159,이해창,1987-05-11,2016,2900,6
3160,이해창,1987-05-11,2017,4500,7
3161,이해창,1987-05-11,2018,7100,8
3162,이해창,1987-05-11,2019,7100,9
3163,이해창,1987-05-11,2020,5500,10
3164,황동채,1983-07-04,2006,,1
3165,황동채,1983-07-04,2007,,2
3166,황동채,1983-07-04,2010,,5
3167,황동채,1983-07-04,2011,,6
3168,황동채,1983-07-04,2012,,7
3169,황동채,1983-07-04,2013,,8
3170,황동채,1983-07-04,2014,3500,9
3171,황동채,1983-07-04,2015,900000,10
3172,안익훈,1996-02-12,2015,4100,1
3173,안익훈,1996-02-12,2016,4100,2
3174,안익훈,1996-02-12,2017,5000,3
3175,안익훈,1996-02-12,2018,900000,4
3176,박찬호,1995-06-05,2014,2400,1
3177,박찬호,1995-06-05,2015,3700,2
3178,박찬호,1995-06-05,2016,3700,3
3179,박찬호,1995-06-05,2019,3700,6
3180,박찬호,1995-06-05,2020,10500,7
3181,조경택,1970-11-25,1992,,1
3182,조경택,1970-11-25,1993,,2
3183,조경택,1970-11-25,1994,,3
3184,조경택,1970-11-25,1995,,4
3185,조경택,1970-11-25,1996,,5
3186,조경택,1970-11-25,1997,3700,6
3187,조경택,1970-11-25,1998,3100,7
3188,조경택,1970-11-25,1999,2800,8
3189,조경택,1970-11-25,2000,5000,9
3190,조경택,1970-11-25,2001,4500,10
3191,조경택,1970-11-25,2002,5000,11
3192,조경택,1970-11-25,2003,4500,12
3193,조중근,1982-12-20,2003,1700,1
3194,조중근,1982-12-20,2004,2000,2
3195,조중근,1982-12-20,2005,2400,3
3196,조중근,1982-12-20,2006,4100,4
3197,조중근,1982-12-20,2007,4100,5
3198,조중근,1982-12-20,2008,3300,6
3199,조중근,1982-12-20,2009,3700,7
3200,조중근,1982-12-20,2010,3700,8
3201,조중근,1982-12-20,2011,3500,9
3202,조중근,1982-12-20,2012,4300,10
3203,조중근,1982-12-20,2013,4000,11
3204,조중근,1982-12-20,2015,900000,13
3205,심광호,1977-08-01,1997,1700,1
3206,심광호,1977-08-01,1998,1800,2
3207,심광호,1977-08-01,1999,1900,3
3208,심광호,1977-08-01,2000,2300,4
3209,심광호,1977-08-01,2003,2300,7
3210,심광호,1977-08-01,2004,2600,8
3211,심광호,1977-08-01,2005,3600,9
3212,심광호,1977-08-01,2006,5000,10
3213,심광호,1977-08-01,2007,7500,11
3214,심광호,1977-08-01,2008,7500,12
3215,심광호,1977-08-01,2009,5500,13
3216,심광호,1977-08-01,2011,5000,15
3217,심광호,1977-08-01,2012,4000,16
3218,고지행,1978-05-03,2003,,1
3219,고지행,1978-05-03,2004,10000,2
3220,고지행,1978-05-03,2005,10000,3
3221,정주현,1990-10-13,2009,,1
3222,정주현,1990-10-13,2010,2400,2
3223,정주현,1990-10-13,2011,2600,3
3224,정주현,1990-10-13,2012,2800,4
3225,정주현,1990-10-13,2013,3200,5
3226,정주현,1990-10-13,2016,5000,8
3227,정주현,1990-10-13,2017,6000,9
3228,정주현,1990-10-13,2018,5000,10
3229,정주현,1990-10-13,2019,5000,11
3230,정주현,1990-10-13,2020,12500,12
3231,노시환,2000-12-03,2019,,1
3232,노시환,2000-12-03,2020,3300,2
3233,김민식,1989-06-28,2015,3000,1
3234,김민식,1989-06-28,2016,3000,2
3235,김민식,1989-06-28,2017,3000,3
3236,김민식,1989-06-28,2018,15000,4
3237,김민식,1989-06-28,2019,15000,5
3238,김민식,1989-06-28,2020,8800,6
3239,발디리스,1983-01-05,2016,900000,1
3240,김성훈,1993-10-27,2017,2700,1
3241,김성훈,1993-10-27,2018,4700,2
3242,김성훈,1993-10-27,2019,4700,3
3243,황우구,1976-05-03,1999,,1
3244,황우구,1976-05-03,2000,2200,2
3245,황우구,1976-05-03,2001,2700,3
3246,황우구,1976-05-03,2002,3000,4
3247,황우구,1976-05-03,2003,2800,5
3248,황우구,1976-05-03,2004,3300,6
3249,최태원,1970-08-19,1993,,1
3250,최태원,1970-08-19,1994,,2
3251,최태원,1970-08-19,1995,,3
3252,최태원,1970-08-19,1996,,4
3253,최태원,1970-08-19,1997,7300,5
3254,최태원,1970-08-19,1998,8200,6
3255,최태원,1970-08-19,1999,8900,7
3256,최태원,1970-08-19,2000,10000,8
3257,최태원,1970-08-19,2001,10000,9
3258,최태원,1970-08-19,2002,9000,10
3259,최태원,1970-08-19,2003,9000,11
3260,박헌도,1987-01-01,2011,,1
3261,박헌도,1987-01-01,2012,2400,2
3262,박헌도,1987-01-01,2013,2600,3
3263,박헌도,1987-01-01,2014,2600,4
3264,박헌도,1987-01-01,2015,2600,5
3265,박헌도,1987-01-01,2016,8000,6
3266,박헌도,1987-01-01,2017,5600,7
3267,박헌도,1987-01-01,2018,900000,8
3268,최승준,1988-01-11,2006,,1
3269,최승준,1988-01-11,2007,2000,2
3270,최승준,1988-01-11,2013,2400,8
3271,최승준,1988-01-11,2014,2700,9
3272,최승준,1988-01-11,2015,2700,10
3273,최승준,1988-01-11,2016,4200,11
3274,최승준,1988-01-11,2017,6200,12
3275,최승준,1988-01-11,2018,5600,13
3276,최승준,1988-01-11,2019,5600,14
3277,최승준,1988-01-11,2020,4000,15
3278,김회성,1985-12-04,2009,,1
3279,김회성,1985-12-04,2010,2400,2
3280,김회성,1985-12-04,2011,2400,3
3281,김회성,1985-12-04,2014,3400,6
3282,김회성,1985-12-04,2015,5500,7
3283,김회성,1985-12-04,2016,5500,8
3284,김회성,1985-12-04,2017,5500,9
3285,김회성,1985-12-04,2018,5800,10
3286,김회성,1985-12-04,2019,5800,11
3287,김회성,1985-12-04,2020,6500,12
3288,김규민,1993-01-26,2017,2700,1
3289,김규민,1993-01-26,2018,2900,2
3290,김규민,1993-01-26,2019,2900,3
3291,김규민,1993-01-26,2020,2900,4
3292,문선재,1990-05-20,2010,,1
3293,문선재,1990-05-20,2013,2500,4
3294,문선재,1990-05-20,2014,7500,5
3295,문선재,1990-05-20,2015,6500,6
3296,문선재,1990-05-20,2016,6500,7
3297,문선재,1990-05-20,2017,8000,8
3298,문선재,1990-05-20,2018,7000,9
3299,문선재,1990-05-20,2019,7000,10
3300,문선재,1990-05-20,2020,4500,11
3301,김호령,1992-04-30,2015,6000,1
3302,김호령,1992-04-30,2016,6000,2
3303,김호령,1992-04-30,2017,9500,3
